,symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
0,SHSE.688288,1d,19.75,19.75,18.12,18.12,1624777,30065595.85,19.37,0,2024-01-29 00:00:00+08:00,2024-01-29 00:00:00+08:00
1,SHSE.688288,1d,18.39,18.39,17.31,17.39,1201908,21342903.28,18.12,0,2024-01-30 00:00:00+08:00,2024-01-30 00:00:00+08:00
2,SHSE.688288,1d,17.43,17.52,16.11,16.21,1634074,27284728.38,17.39,0,2024-01-31 00:00:00+08:00,2024-01-31 00:00:00+08:00
3,SHSE.688288,1d,16.07,16.43,15.49,15.83,1458321,23158151.96,16.21,0,2024-02-01 00:00:00+08:00,2024-02-01 00:00:00+08:00
4,SHSE.688288,1d,15.97,16.15,14.0,14.7,1869172,27943598.27,15.83,0,2024-02-02 00:00:00+08:00,2024-02-02 00:00:00+08:00
5,SHSE.688288,1d,14.57,14.57,11.8,12.22,3101182,39167704.27,14.7,0,2024-02-05 00:00:00+08:00,2024-02-05 00:00:00+08:00
6,SHSE.688288,1d,11.84,12.58,10.69,12.02,2700342,31211059.99,12.22,0,2024-02-06 00:00:00+08:00,2024-02-06 00:00:00+08:00
7,SHSE.688288,1d,12.02,12.02,10.55,10.77,3650055,39635854.42,12.02,0,2024-02-07 00:00:00+08:00,2024-02-07 00:00:00+08:00
8,SHSE.688288,1d,10.94,12.15,9.7,12.1,3715426,40221232.53,10.77,0,2024-02-08 00:00:00+08:00,2024-02-08 00:00:00+08:00
9,SHSE.688288,1d,12.1,13.31,12.1,13.06,3555620,45678770.5,12.1,0,2024-02-19 00:00:00+08:00,2024-02-19 00:00:00+08:00
10,SHSE.688288,1d,13.05,13.58,12.78,13.13,2059792,27061449.27,13.06,0,2024-02-20 00:00:00+08:00,2024-02-20 00:00:00+08:00
11,SHSE.688288,1d,13.13,14.13,13.01,13.59,1577443,21528598.88,13.13,0,2024-02-21 00:00:00+08:00,2024-02-21 00:00:00+08:00
12,SHSE.688288,1d,14.32,14.32,13.59,14.18,1351688,18932134.99,13.59,0,2024-02-22 00:00:00+08:00,2024-02-22 00:00:00+08:00
13,SHSE.688288,1d,14.35,15.55,14.3,15.55,1963143,29442325.32,14.18,0,2024-02-23 00:00:00+08:00,2024-02-23 00:00:00+08:00
14,SHSE.688288,1d,15.95,17.0,15.59,16.27,2300557,37507489.56,15.55,0,2024-02-26 00:00:00+08:00,2024-02-26 00:00:00+08:00
15,SHSE.688288,1d,16.53,16.79,16.14,16.75,1476993,24478578.49,16.27,0,2024-02-27 00:00:00+08:00,2024-02-27 00:00:00+08:00
